viral_reach,peak_engaged,peak_tick,time_to_viral,lifetime,decay_rate,auc_engaged,final_fatigued,scenario,seed
0.424,23,6,6,123,-0.014294720209381688,881.0,871,NET_BA,5000
0.395,27,11,8,89,-0.011827692124366244,820.0,851,NET_BA,5002
0.381,25,9,5,120,-0.012674400918401234,767.0,846,NET_BA,5003
0.415,23,21,14,89,-0.011318533134762372,806.0,847,NET_BA,5001
0.436,26,14,7,182,-0.011763196637391232,847.0,868,NET_BA,5006
0.392,21,9,8,96,-0.011457802225760285,775.0,867,NET_BA,5005
0.373,24,10,7,99,-0.011505277264436608,655.0,838,NET_BA,5004
0.398,18,22,12,130,-0.010301845499991474,733.0,847,NET_BA,5007
0.398,30,14,7,157,-0.011081642580430654,707.0,841,NET_BA,5008
0.395,28,11,7,193,-0.010684907635988828,768.0,867,NET_BA,5011
0.363,18,24,9,145,-0.009893646500131501,656.0,848,NET_BA,5012
0.373,30,10,7,127,-0.010293992113483084,777.0,838,NET_BA,5010
0.406,25,11,8,147,-0.010447446019133303,818.0,859,NET_BA,5014
0.359,26,20,13,88,-0.008657177943064955,690.0,850,NET_BA,5009
0.378,27,8,4,97,-0.009822952455334323,796.0,847,NET_BA,5013
0.317,8,5,15,115,-0.011867117980490012,564.0,808,NET_WS,5000
0.277,6,41,20,123,-0.00831428807323108,485.0,792,NET_WS,5001
0.297,10,8,8,206,-0.009346058823060171,531.0,823,NET_WS,5002
0.309,8,8,11,156,-0.009711826001861022,528.0,790,NET_WS,5003
0.335,10,18,11,160,-0.01088433755375551,676.0,820,NET_WS,5006
0.29,6,14,15,99,-0.011030349991049486,515.0,779,NET_WS,5004
0.32,11,16,15,139,-0.009742948138866189,586.0,827,NET_WS,5007
0.3,8,50,12,205,-0.009142364359718005,535.0,791,NET_WS,5008
0.317,12,11,10,161,-0.008753485125796752,560.0,829,NET_WS,5005
0.296,5,3,21,153,-0.009429229855903906,500.0,805,NET_WS,5009
0.306,7,35,18,124,-0.010831074751183294,554.0,801,NET_WS,5011
0.314,11,18,14,126,-0.009404438689193845,596.0,819,NET_WS,5010
0.27,6,21,17,114,-0.01091927621695106,487.0,800,NET_WS,5013
0.302,8,18,17,116,-0.00976405247646617,545.0,804,NET_WS,5012
0.31,7,3,13,140,-0.009767216492969662,592.0,803,NET_WS,5014
0.37,12,21,15,137,-0.012258647755683546,732.0,824,NET_ER,5001
0.28,10,13,13,116,-0.011569922444706626,521.0,809,NET_ER,5000
0.383,12,15,10,174,-0.011588985891828694,811.0,846,NET_ER,5002
0.311,9,25,10,93,-0.011800236178048817,579.0,799,NET_ER,5003
0.32,7,5,16,107,-0.01147243652635228,610.0,812,NET_ER,5004
0.33,8,27,11,203,-0.010334188840770362,639.0,834,NET_ER,5005
0.317,10,13,13,129,-0.011525525256982529,626.0,840,NET_ER,5007
0.305,9,11,12,173,-0.011414452283972408,596.0,819,NET_ER,5006
0.33,10,9,9,133,-0.011748080638739085,653.0,818,NET_ER,5011
0.318,9,5,9,105,-0.011439030277871123,652.0,801,NET_ER,5008
0.27,7,12,22,167,-0.0077338187544655655,524.0,795,NET_ER,5009
0.297,12,7,11,140,-0.00953296100177278,532.0,830,NET_ER,5010
0.315,7,10,11,153,-0.010545975709834742,573.0,808,NET_ER,5014
0.335,12,26,15,127,-0.009259409783810471,629.0,818,NET_ER,5012
0.284,6,6,16,125,-0.012156603434143112,516.0,799,NET_ER,5013
